module	related_module
MPS213	MPS118
MPS213	MPS119
MPS227	MPS118
MPS227	MPS119
MPS222	MPS125
MPS236	MPS110
MPS236	MPS125
MPS328	MPS230
MPS328	MPS216
MPS361	MPS216
MPS361	MPS217
MPS381	MPS216
MPS334	MPS230
MPS366	MPS216
MPS327	MPS230
MPS327	MPS216
MPS331	MPS212
MPS331	MPS227
MPS332	MPS119
MPS365	MPS216
MPS365	MPS217
MPS336	MPS216
MPS323	MPS216
MPS323	MPS217
MPS325	MPS216
MPS325	MPS217
MPS321	MPS236
MPS358	MPS236
MPS358	MPS224
MPS474	MPS119
MPS477	MPS230
MPS477	MPS216
MPS477	MPS328
MPS480	MPS230
MPS480	MPS328
MPS481	MPS216
MPS484	MPS361
MPS484	MPS364
MPS4106	MPS328
MPS482	MPS118
MPS488	MPS216
MPS486	MPS216
MPS476	MPS364
MPS4116	PHY2002
