module	credits
MPS117	20
MPS107	10
MPS111	50
MPS105	10
MPS119	10
CMB124	10
MPS104	10
MPS108	10
MPS118	10
ELE108	20
MPS106	10
MPS125	20
MPS216	70
CMB238	10
MPS211	10
MPS212	10
MPS213	10
MPS230	10
MPS210	10
MPS228	10
MPS229	10
MPS231	10
MPS227	10
MPS226	10
CMB221	10
SMP203	10
HPH214	20
HPH229	20
HPH232	20
HPH233	20
HPH234	20
HPH236	20
HPH253	20
HPH258	20
HPH215	20
HPH228	20
HPH230	20
HPH231	20
HPH238	20
HPH248	20
HPH249	20
HPH255	20
HPH257	20
HPH259	20
MPS217	70
MPS222	10
MPS236	20
MPS328	10
MPS364	10
MPS361	10
MPS329	10
MPS367	10
MPS372	20
MPS373	20
MPS374	20
MPS381	20
MPS334	10
MPS366	10
MPS325	10
MPS327	10
MPS331	10
MPS332	10
MPS333	10
MPS336	10
MPS360	10
MPS362	10
MPS363	10
MPS365	10
MPS323	10
MPS330	10
MPS335	10
MPS324	10
CMB350	10
COM3001	10
SMP313	20
HPH331	20
HPH343	20
HPH346	20
HPH350	20
HPH351	20
HPH357	20
HPH366	20
HPH368	20
HPH340	20
HPH341	20
HPH342	20
HPH344	20
HPH347	20
HPH349	20
HPH358	20
HPH367	20
HPH369	20
EDC309	20
EDC311	20
EGH325	20
GPL322	20
SPR320	20
EDC306	20
EDC307	20
GPL313	20
MPS321	10
MPS358	10
MPS431	60
MPS475	15
MPS477	15
MPS478	15
MPS480	15
MPS481	15
MPS484	15
MPS485	15
MPS4106	15
MPS471	15
MPS473	15
MPS482	15
MPS487	15
MPS488	15
MPS476	15
MPS486	15
SMP4140	15
SMP435	60
MPS461	15
MPS4116	30
