ARC101	ALA101
ARC102	ALA102
ARC107	ALA103
ARC108	ALA104
ARC103	ALA105
ARC104	ALA106
LSC111	ALA107
ARC126	ALA108
LSC136	ALA109
LSC115	ALA110
LSC117	ALA111
LSC120	ALA112
ARC136	ALA113
ARC165	ALA114
ARC125	ALA115
LSC118	ALA116
LSC116	ALA117
LSC119	ALA118
ARC202	ALA201
ARC221	ALA202
ARC207	ALA203
ARC208	ALA204
ARC203	ALA205
ARC204	ALA206
ARC213	ALA207
ARC211	ALA208
ARC215	ALA209
LSC234	ALA210
LSC235	ALA211
LSC233	ALA212
LSC231	ALA213
ARC275	ALA214
LSC240	ALA215
LSC21001	ALA216
LSC242	ALA217
LSC241	ALA218
ARC214	ALA219
LSC236	ALA220
ARC237	ALA221
ARC238	ALA222
ARC225	ALA223
ARC226	ALA224
LSC230	ALA225
ARC212	ALA226
LSC303	ALA301
ARC554	ALA302
ARC377	ALA303
ARC307	ALA304
ARC378	ALA305
ARC303	ALA306
LSC308	ALA307
LSC306	ALA308
ARC555	ALA309
ARC328	ALA310
ARC308	ALA311
ARC598	ALA312
ARC329	ALA313
ARC330	ALA314
ARC331	ALA315
ARC332	ALA316
ARC337	ALA317
ARC325	ALA318
ARC326	ALA319
ARC551	ALA320
ARC590	ALA321
ARC550	ALA322
LSC334	ALA323
LSC335	ALA324
LSC337	ALA325
LSC336	ALA326
LSC333	ALA327
LSC31001	ALA328
ARC324	ALA329
ARC556	ALA330
ARC596	ALA331
ARC594	ALA332
ARC552	ALA333
ARC562	ALA334
LSC304	ALA335
ARC597	ALA336
ARC374	ALA337
ARC322	ALA338
ARC311	ALA339
ARC312	ALA340
ARC313	ALA341
ARC314	ALA342
ARC356	ALA343
LSC332	ALA344
ARC375	ALA345
LSC330	ALA346
ARC333	ALA347
ARC327	ALA348
ARC561	ALA401
LSC6140	ALA403
LSC6015	ALA404
ARC6990	ALA405
ARC6988	ALA406
ARC6982	ALA407
ARC407	ALA408
ARC6780	ALA409
ARC560	ALA411
ARC583	ALA412
LSC6046	ALA413
ARC584	ALA414
LSC5010	ALA415
LSC403	ALA416
LSC410	ALA417
LSC417	ALA418
LSC418	ALA419
LSC419	ALA420
